codigo_onibus,placa,linha,latitude,longitude,velocidade,sentido,trajeto,hodometro,datahoracoleta,dataposicao,horaposicao
903045,,14,-23.007997,-43.440089,0.0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],61942.5,2023-12-18 15:47:37,2023-12-18,15:04:11
902119,,41,-22.876377,-43.329773,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],26578.5,2023-12-18 15:47:37,2023-12-18,15:31:28
901058,,51,-22.87584,-43.405355,15.2,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],89086.3,2023-12-18 15:47:37,2023-12-18,15:45:19
902105,,40,-22.877673,-43.336739,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],31497.2,2023-12-18 15:47:37,2023-12-18,15:47:14
901071,,50,-23.000771,-43.333482,46.1,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],76735.6,2023-12-18 15:47:37,2023-12-18,15:47:20
903027,,42,-22.854576,-43.254525,11.2,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],91089.7,2023-12-18 15:47:37,2023-12-18,15:47:17
901066,,52,-23.002014,-43.366123,0.0,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],85497.2,2023-12-18 15:47:37,2023-12-18,15:43:49
903026,,42,-22.815693,-43.241601,59.7,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],78295.2,2023-12-18 15:47:37,2023-12-18,15:47:21
903029,,14,-23.008256,-43.440573,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],73404.0,2023-12-18 15:47:37,2023-12-18,15:30:54
902116,,35,-23.00219,-43.365496,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],32148.3,2023-12-18 15:47:37,2023-12-18,14:47:38
902115,,41,-23.008457,-43.440813,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],29434.1,2023-12-18 15:47:37,2023-12-18,14:36:22
903028,,42,-22.824025,-43.231431,55.3,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],65978.7,2023-12-18 15:47:37,2023-12-18,15:47:31
901061,,51,-22.919794,-43.396598,59.7,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],89251.4,2023-12-18 15:47:37,2023-12-18,15:42:24
903030,,42,-22.852946,-43.320044,0.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],13413.8,2023-12-18 15:47:37,2023-12-18,15:47:15
903057,,17,-22.920533,-43.60797,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],12199.8,2023-12-18 15:47:37,2023-06-26,04:59:59
901051,,35,-22.964514,-43.392233,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],60187.8,2023-12-18 15:47:37,2023-12-18,14:47:29
901064,,53,-23.001295,-43.366229,23.0,volta,53 - SENTIDO SULACAP (EXPRESSO) [VOLTA],95172.5,2023-12-18 15:47:37,2023-12-18,15:41:44
902107,,40,-23.002142,-43.366177,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],30416.5,2023-12-18 15:47:37,2023-12-18,11:29:13
901049,,0,-22.751625,-43.286923,0.0,,,56609.8,2023-12-18 15:47:37,2023-12-07,16:14:53
901073,,52,-22.964459,-43.391814,0.0,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],12634.9,2023-12-18 15:47:37,2023-12-18,15:41:14
901048,,51,-22.944231,-43.394292,59.9,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],61280.3,2023-12-18 15:47:37,2023-12-18,15:47:20
901065,,52,-22.964691,-43.392015,0.0,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],63406.8,2023-12-18 15:47:37,2023-12-18,15:31:25
903031,,14,-23.007882,-43.439034,16.5,volta,14 - TERMINAL RECREIO x SANTA EUGÊNIA (EXPRESSO) [VOLTA],72655.9,2023-12-18 15:47:37,2023-12-18,15:47:29
902092,,35,-23.00193,-43.36476,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],32087.5,2023-12-18 15:47:37,2023-12-18,14:51:41
903032,,14,-23.006491,-43.437059,53.3,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],59626.5,2023-12-18 15:47:37,2023-12-18,15:47:18
901075,,51,-22.96489,-43.391453,0.0,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],97527.4,2023-12-18 15:47:37,2023-12-18,14:52:06
903055,,17,-22.915807,-43.62876,30.1,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],18629.2,2023-12-18 15:47:37,2023-12-18,15:47:22
902112,,35,-22.876367,-43.329491,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],31006.0,2023-12-18 15:47:37,2023-12-18,14:54:22
903037,,17,-22.903441,-43.556602,23.1,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],55595.7,2023-12-18 15:47:37,2023-12-18,15:30:00
903002,,14,-22.883961,-43.399662,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],31416.9,2023-12-18 15:47:37,2023-12-18,15:39:36
901080,,53,-22.964527,-43.39222,0.0,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],71205.4,2023-12-18 15:47:37,2023-12-18,15:42:00
902110,,40,-23.002221,-43.366274,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],27724.3,2023-12-18 15:47:37,2023-12-18,15:24:21
902114,,40,-22.876899,-43.330167,3.5,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],26499.8,2023-12-18 15:47:37,2023-12-18,15:41:08
902078,,40,-22.972539,-43.386231,38.7,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],30111.6,2023-12-18 15:47:37,2023-12-18,15:41:38
902111,,35,-22.974105,-43.363707,41.8,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],32230.4,2023-12-18 15:47:37,2023-12-18,10:41:56
902025,,40,-23.00139,-43.3673,0.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],29714.8,2023-12-18 15:47:37,2023-12-18,09:01:47
903054,,14,-23.007974,-43.439699,0.0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],51218.1,2023-12-18 15:47:37,2023-12-18,15:05:33
903021,,42,-22.839931,-43.239365,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],71808.6,2023-12-18 15:47:37,2023-12-18,15:47:30
903056,,14,-23.007944,-43.440009,0.0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],48869.3,2023-12-18 15:47:37,2023-12-18,15:05:45
903000,,38,-22.876997,-43.329821,8.7,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],71544.5,2023-12-18 15:47:37,2023-12-18,14:58:42
903058,,17,-22.932157,-43.671766,39.1,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],42319.8,2023-12-18 15:47:37,2023-12-18,15:46:49
901072,,52,-23.000933,-43.368545,18.4,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],74149.8,2023-12-18 15:47:37,2023-12-18,15:20:15
902045,,41,-23.00871,-43.44072,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],30170.2,2023-12-18 15:47:37,2023-12-18,14:29:01
903008,,14,-23.008237,-43.440733,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],73005.2,2023-12-18 15:47:37,2023-12-18,15:44:57
903007,,42,-22.852533,-43.312649,4.8,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],82274.4,2023-12-18 15:47:37,2023-12-18,15:47:28
903004,,14,-23.007932,-43.439795,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],71101.4,2023-12-18 15:47:37,2023-12-18,15:26:40
903006,,14,-23.008262,-43.440992,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],77027.9,2023-12-18 15:47:37,2023-12-18,07:51:50
901046,,35,-22.964886,-43.391652,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],68571.7,2023-12-18 15:47:37,2023-12-18,15:33:27
903005,,42,-22.920246,-43.607133,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],72468.8,2023-12-18 15:47:37,2023-12-18,15:47:18
903022,,42,-22.876257,-43.329338,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],81479.8,2023-12-18 15:47:37,2023-12-18,07:38:16
903035,,17,-22.916281,-43.68471,10.6,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],53080.6,2023-12-18 15:47:37,2023-12-18,15:47:31
901059,,51,-23.008471,-43.440631,13.2,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],92608.2,2023-12-18 15:47:37,2023-12-18,15:47:27
903003,,14,-23.008273,-43.440973,0.0,volta,14 - TERMINAL RECREIO x SANTA EUGÊNIA (EXPRESSO) [VOLTA],60338.9,2023-12-18 15:47:37,2023-12-18,15:44:57
901019,,22,-22.964913,-43.392137,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],60505.9,2023-12-18 15:47:37,2023-12-18,14:08:50
901020,,22,-22.964808,-43.392191,5.9,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],46048.8,2023-12-18 15:47:37,2023-12-18,10:10:27
901021,,22,-22.964743,-43.391964,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],48780.9,2023-12-18 15:47:37,2023-12-18,15:15:34
901022,,51,-22.853885,-43.384047,0.0,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],55792.3,2023-12-18 15:47:37,2023-12-18,15:47:28
901023,,51,-23.008503,-43.439857,0.0,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],81533.6,2023-12-18 15:47:37,2023-12-18,15:47:16
901024,,22,-22.965332,-43.392088,0.30000000000000004,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],27640.0,2023-12-18 15:47:37,2023-12-18,14:09:26
901025,,35,-22.964372,-43.391781,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],77961.5,2023-12-18 15:47:37,2023-12-18,14:49:15
901026,,51,-23.008635,-43.440517,0.0,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],79875.3,2023-12-18 15:47:37,2023-12-18,15:39:28
901027,,51,-22.914438,-43.399215,41.3,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],72471.6,2023-12-18 15:47:37,2023-12-18,15:47:30
901028,,22,-23.006594,-43.312762,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],53041.2,2023-12-18 15:47:37,2023-12-18,15:47:16
903001,,14,-23.008323,-43.440666,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],74444.4,2023-12-18 15:47:37,2023-12-18,08:38:06
901029,,22,-22.964507,-43.391837,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],56600.4,2023-12-18 15:47:37,2023-12-18,15:43:42
901030,,53,-22.89922,-43.397685,43.1,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],51373.8,2023-12-18 15:47:37,2023-12-18,15:46:06
901031,,35,-22.964528,-43.391957,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],55147.2,2023-12-18 15:47:37,2023-12-18,15:08:52
901032,,35,-23.001401,-43.367144,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],58311.3,2023-12-18 15:47:37,2023-12-18,15:46:52
901033,,35,-22.997392,-43.366246,33.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],63085.6,2023-12-18 15:47:37,2023-12-18,15:47:28
901034,,35,-22.948476,-43.372526,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],61607.0,2023-12-18 15:47:37,2023-12-18,15:47:15
901035,,35,-22.920119,-43.367916,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],57698.0,2023-12-18 15:47:37,2023-12-18,15:46:24
901036,,35,-22.8795,-43.341663,9.5,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],45962.0,2023-12-18 15:47:37,2023-12-18,15:44:17
901037,,13,-23.000369,-43.340289,45.7,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],50975.3,2023-12-18 15:47:37,2023-12-18,15:47:21
901038,,35,-22.964744,-43.392127,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],57276.8,2023-12-18 15:47:37,2023-12-18,15:18:17
901039,,12,-22.96455,-43.391964,0.0,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],51790.5,2023-12-18 15:47:37,2023-12-18,15:05:45
901040,,35,-22.965173,-43.391317,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],61420.5,2023-12-18 15:47:37,2023-12-18,14:15:39
901041,,35,-22.921267,-43.37029,0.1,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],56002.1,2023-12-18 15:47:37,2023-12-18,15:47:13
901042,,35,-22.967173,-43.390438,25.1,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],61195.0,2023-12-18 15:47:37,2023-12-18,15:47:28
901043,,35,-22.878386,-43.336283,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],53950.4,2023-12-18 15:47:37,2023-12-18,15:47:16
901054,,35,-23.00344,-43.353539,21.1,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],57914.4,2023-12-18 15:47:37,2023-12-18,15:40:39
903009,,42,-22.839798,-43.239561,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],81987.8,2023-12-18 15:47:37,2023-12-18,15:47:11
903010,,42,-22.837703,-43.290205,34.7,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],81444.4,2023-12-18 15:47:37,2023-12-18,15:47:24
903011,,42,-22.842408,-43.27845,29.8,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],78241.0,2023-12-18 15:47:37,2023-12-18,15:47:22
903012,,42,-22.854924,-43.253441,6.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],86866.0,2023-12-18 15:47:37,2023-12-18,15:47:28
903015,,14,-23.00822,-43.440746,0.0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],75160.8,2023-12-18 15:47:37,2023-12-18,15:11:16
903016,,42,-22.878959,-43.340127,36.8,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],69940.3,2023-12-18 15:47:37,2023-12-18,15:47:20
903017,,14,-23.008597,-43.440117,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],72418.0,2023-12-18 15:47:37,2023-12-18,14:34:00
903018,,14,-22.973103,-43.387364,28.1,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],38797.9,2023-12-18 15:47:37,2023-12-18,15:47:21
903019,,50,-22.876952,-43.32978,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],4452.3,2023-12-18 15:47:37,2023-08-24,06:16:08
903020,,38,-22.876619,-43.329801,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],14190.8,2023-12-18 15:47:37,2023-12-18,15:47:27
903023,,14,-22.973119,-43.387364,15.3,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],64972.0,2023-12-18 15:47:37,2023-12-18,15:47:16
903024,,14,-23.008603,-43.440247,0.0,volta,14 - TERMINAL RECREIO x SANTA EUGÊNIA (EXPRESSO) [VOLTA],76650.6,2023-12-18 15:47:37,2023-12-18,15:44:28
903025,,14,-23.008322,-43.440624,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],10699.8,2023-12-18 15:47:37,2023-12-18,15:38:22
903013,,42,-22.839933,-43.239463,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],71977.7,2023-12-18 15:47:37,2023-12-18,15:19:30
903014,,0,-22.839446,-43.239914,0.0,,,84690.3,2023-12-18 15:47:37,2023-12-18,15:47:29
902097,,35,-22.876559,-43.329725,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],33143.199,2023-12-18 15:47:37,2023-12-18,15:26:17
901045,,22,-22.999985,-43.354493,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],66337.8,2023-12-18 15:47:37,2023-12-18,15:47:23
901053,,53,-22.964511,-43.391972,0.0,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],55197.6,2023-12-18 15:47:37,2023-12-18,14:59:04
901060,,22,-23.006768,-43.312347,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],74964.7,2023-12-18 15:47:37,2023-12-18,15:47:30
903052,,17,-22.917823,-43.684289,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],53426.3,2023-12-18 15:47:37,2023-12-18,15:47:30
903060,,17,-22.92429,-43.649245,15.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],51789.6,2023-12-18 15:47:37,2023-12-18,15:47:29
903063,,17,-22.931132,-43.656246,43.4,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],47386.2,2023-12-18 15:47:37,2023-12-18,15:47:23
901000,,50,-22.965113,-43.391624,0.0,ida,50 - GARAGEM X CENTRO OLIMPICO,53728.9,2023-12-18 15:47:37,2023-12-18,15:39:36
902113,,40,-22.88934,-43.346429,1.6,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],26892.2,2023-12-18 15:47:37,2023-12-18,15:47:15
902118,,41,-23.000951,-43.364319,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],26855.5,2023-12-18 15:47:37,2023-12-18,09:00:39
902117,,40,-22.879079,-43.340884,31.3,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],31461.6,2023-12-18 15:47:37,2023-12-18,15:47:15
901052,,53,-22.981422,-43.365557,52.8,volta,53 - SENTIDO SULACAP (EXPRESSO) [VOLTA],51978.4,2023-12-18 15:47:37,2023-12-18,15:47:20
901056,,35,-23.002148,-43.367243,18.8,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],56960.8,2023-12-18 15:47:37,2023-12-18,10:59:46
902125,,10,-23.000948,-43.364829,0.0,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],4357.1,2023-12-18 15:47:37,2023-12-18,15:35:44
901044,,35,-22.973211,-43.383407,2.5,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],63930.8,2023-12-18 15:47:37,2023-12-18,15:47:25
903033,,14,-23.00801,-43.44001,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],7705.5,2023-12-18 15:47:37,2023-12-18,15:46:41
902049,,0,-22.897851,-43.211817,43.1,,,68811.9,2023-12-18 15:47:37,2023-12-10,09:54:43
902020,,43,-22.842695,-43.253891,0.0,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],59672.2,2023-12-18 15:47:37,2023-12-18,13:03:57
902022,,40,-22.854775,-43.25205,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],56123.7,2023-12-18 15:47:37,2023-12-18,15:35:48
901092,,35,-22.881175,-43.341645,35.9,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],30743.2,2023-12-18 15:47:37,2023-12-18,15:47:15
901093,,51,-23.008616,-43.440303,0.0,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],67476.3,2023-12-18 15:47:37,2023-12-18,15:40:52
902023,,46,-23.001019,-43.364576,23.8,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],53721.9,2023-12-18 15:47:37,2023-12-18,15:45:10
902059,,46,-22.965762,-43.390434,51.9,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],70427.3,2023-12-18 15:47:37,2023-12-18,15:44:43
902056,,46,-23.000972,-43.368475,20.0,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],71194.4,2023-12-18 15:47:37,2023-12-18,13:14:06
